Item_ID,Name,Category,Ingredients,Price,Rating
0,steam bunny chicken bao ,Japanese,"Buns, Flour, Dry Yeast, Sugar, Salt, Hot Water, Chicken Mince, Eggs, Soy Sauce, Sugar, Sesame Oil, Worcestershire Sauce, Chives, Aromat Powder",1676,2
1,fsfdkfgk,shgdajhf,wfhqfdhq,461436,3
2,prawn potato soup,Thai,"Onion, potato, prawns, eggs, milk, butter, coriander, salt, water",1293,3
4,almond and chicken momos (without shell),Chinese,"chicken mince, garlic, carrots, spring onion, ginger, soya sauce, oyster sauce, sesame oil, pepper powder, egg, almonds (blanched), oil (for greasing)",290,3
4,Cheese Naan,Indian,"Aall purpose flour, yougurt, cheese",2663,4
5,prawn fried rice,Thai,"Oil, Bacon, Prawns, Chicken, Carrots, Garlic Buds, Ginger, Spring Onion, Sweet Chili Sauce, Soy Sauce, Salt, Pepper, Sweet Corn, Vinegar, Baked Rice, Green Coriander",772,2
5,Fresh Corn Tortillas,Mexican,"corn tortilla mix,corn,salt",2807,3
6,chicken paella,Mexican,"chicken, oil, salt and pepper, paprika powder, chilli flakes, garlic paste, onions, bell peppers, rice, vegetable stock, saffron, peas, olives, parsley, white wine",2509,5
7,Chicken Sweet Corn Soup,Chinese,"Chicken,Chicken brouth, Sweet corn, garlic, ginger",1899,3
12,Cucumber and Radish Salad,Healthy Food,"cucumber,raddish,vinegar, coriander,olive, salt papper",2410,4
14,filter coffee,Beverage,"Coffee powder, water, milk, sugar",2941,3
14,grilled kasundi honey chicken with sweet potato mash,Indian,"Chicken breast, kasundi (Bengali mustard sauce), sweet potato, red and yellow capsicum, broccoli, garlic buds, refined oil, salt, butter, cream, green onion, honey, ginger and garlic paste",1763,3
15,Updated Item,Main Course,Delicious and fresh,15,3
16,Asian Salmon Bowl with Lime Drizzle,Thai," jasmine rice, garlic, butter, soy sauce, salmon fillet,spinach,black sesame seeds",551,1
17,almond pearls,Snack,"toasted almonds, blueberries, oats, corn flakes, olive oil, salt, curry leaves, mustard seeds, cumin seeds, red chilli powder, turmeric powder, black pepper powder, ajwain, lemon juice",1537,2
23,"risotto lobster with parmesan egg pancake, confit tomatoes and coral tuille",Italian,"lobster shell, carrot, leeks, garlic cloves, tomato paste, bay leaf, peppercorn, water, lobster meat, arborio rice, onion, leeks, lobster stock, parmesan cheese, cream, salt, olive oil, egg, parmesan, flour, milk, parsley, salt, cherry tomatoes, garlic pods, olive oil, water, oil, flour, salt",2940,5
23,spaghetti with clams & crispy bread crumbs,Italian,"panko, 1/4 cup plus 1 tablespoon extra-virgin olive oil, plus more for drizzling, kosher salt, freshly ground pepper, garlic cloves, manila clams or cockles, scrubbed, dry white wine, spaghetti, lemon zest, lemon juice, mullet bottarga (optional; see note), red pepper, thyme, rosemary, parsley",1561,2
28,Crispy Pakora,Indian,"Cabbage, carrot, onion, gram flour",1256,5
29,roast turkey with cranberry sauce,Healthy Food,"whole turkey, butter, onion, celery, crumbled sage and thyme , salt and pepper, garlic minced, balsamic vinegar, sugar, cranberry",336,3
30,corn and raw mango salad,Healthy Food,"Corn kernels, onions, green onions, paprika, raw mango (pieces), celery stock (pieces), cherry tomatoes, pineapple (pieces), pasarley, green coriander, badge leaves, black olive, lemon juice, olive Oil, black salt, white pepper powder, taco shell",2407,3
30,plum and cherry roasted chicken,Healthy Food,"carrot (finely diced), onion (finely diced), celery (finely diced), fresh thyme sprigs, whole free range chicken , pepper (freshly ground), parsley stems, celery leaves, lemon slices (1/8 inch thick), onion, carrot, fresh lemon juice, chicken stock/broth, plums (cut), fresh cherries",1253,5
31,fruit infused tea,Beverage,"chamomile tea bags, orange, berries, blueberries, ginger, mint leaves, boiling water",500,3
31,Pasta with Garlic-Scape Pesto,Italian,"pistachios, Parmigiano-Reggiano cheese,salt and black pepper, spaghetti,olive oil",306,4
35,soya milk,Beverage,"Soybean, hot water",1738,1
36,thai style chicken tikka,Thai,"Chicken Thais, Thai Ginger, Lemon Leaves, Lemongrass, Coconut Milk Powder, Refined Oil, Red Curry Paste, Peanut Butter, Bezel Leaves, Lotus Stem, Yellow Butter, Chaat Masala",1663,3
36,lamb korma,Indian,"onions, almond paste, ghee, cinnamon sticks, green cardamom, cloves, mace, bay leaves, garlic paste, ginger paste, lamb, salt, rose water (infused with 4-5 strands of saffron), yellow chilli powder, yogurt, yellow chilli powder, black pepper powder, coriander seed powder, cumin powder, red chilli powder, turmeric powder, clove powder, green cardamom powder, rose petal powder, nutmeg powder, black cardamom powder, fennel powder, cinnamon powder, mace powder, onions, cream/malai",1021,5
37,almond and cranberry poha,Indian,"almond flakes, onion, poha, cranberries (frozen/ dried), salt, oil, curry leaves, green chilies, fresh coconut",769,5
37,bengali lamb curry,Indian,"Lamb pieces, yogurt, turmeric powder, castor sugar, red chili powder, mustard oil, onion, ginger paste, garlic paste, green chillies, mustard seeds, almonds",2500,3
37,red wine braised mushroom flatbread,Italian,"olive oil, fresh buffalo mozzarella cheese, canned pelati tomatoes (cooked), pizza/flatbread base, mushrooms, red wine, parsley, garlic cloves (halved), salt",2723,5
39,holi special bhang pakode,Indian,"besan, potato, fresh bhang leaves, spinach, bhang seed powder, ajwain, fresh green chilly , salt, tamarind paste, red chilly powder, mustard seeds, whole red chilli, soda",899,4
39,Jeera Alu,Nepalese,"boiled potatoes, cumin seeds, lemon juice",1947,1
40,spiced coffee,Beverage,"Freshly ground coffee, cardamom powder, ginger, milk, sugar, cream, chocolate",2030,3
40,tandoori fish tikka,Indian,chickenn lime and ginger and cooked over an open fire.,1103,1
45,baked namak para,Snack,"whole wheat flour (atta), refined flour (maida), baking powder, ghee, salt, carom seeds (ajwain)",1153,3
45,sunga pork,Japanese,curry,2386,4
46,fish curry,Thai,"fresh sole fish, black pepper powder, lemon (juiced), onion, coriander seeds, black pepper, raw rice, garlic cloves, coconut, coriander leaves, ginger (large), cinnamon powder, clove powder, ground nut oil, tamarind paste, cooking oil, salt,",2156,4
47,chocolate appe,Snack,"rice, coconut, baking powder, vanilla extract, cinnamon powder, brown sugar, unsweetened cocoa powder, salt, chocolate chips, butter",257,3
47,chicken biryani,Indian,"malabar peppercorn, cinnamon stick, green cardamom pods, star anise, cloves, fennel seeds, vermicelli, desi ghee, shahi jeera, bay leaves, green chilli, mint leaves, onion, saffron, garlic paste, salt, chicken (dark meat), ginger paste, turmeric powder, coriander powder, red chilli powder, roma tomatoes (de-seedeed), water",1386,1
48,fish with jamun sauce,Indian,"jamun, sugar, chilli, garlic cloves (minced), cumin (powdered), fish fillet (pomfret (or any white fish), semolina, salt, wilted spinach",314,5
49,japanese curry arancini with barley salsa,Japanese,"japanese curry, sticky rice, cheese inside rice, barley salsa, wasabi mayo, red capsicum cube (cut), yellow capsicum cube (cut), green capsicum cube (cut), green chili, barley, butter, white pepper, light soya, salt",1067,1
50,Shirazi Salad,Healthy Food,"Spring onion, cheese, lemon juice, cucumber, onion, carrot, parsley, cilantro",879,4
51,lemon honey glazed sous vide corn on the cob,Snack,"young corn on the cob, honey, lemon juice, garlic cloves (smashed), celery stalk, chives, carrot, salt, paprika powder, parsley, plastic bag, food thermometer",2102,5
51,chicken palwal,Indian,"Chicken, Onion, Tomato, Green Chilli, Cumin Powder, Coriander Powder, Green Coriander, Curd, Ginger Garlic, Red Chilli Powder, Salt, Oil",372,3
51,fried rice with soya chunks,Chinese,"basmati rice, carrot, capsicum, beans, green peas, ginger, garlic, green chillies, bay leaf, cinnamon sticks, green cardamoms, clove, soya chunks, salt,",1714,1
51,banana phirni tartlets with fresh strawberries,Snack,"basmati rice (soaked in water), milk, cardamom powder, milk, saffron, sugar, banana, fresh strawberries, plain flour, butter (chilled), castor sugar, egg yolk, chilled water",897,3
53,Alo Tama Bodi,Nepalese,"bamboo shoot, black eye bean, potato",1247,4
53,Kimchi Toast,Korean," cream cheese, chopped kimchi, scallions,country-style bread, sesame seeds,  cilantro leaves",2719,4
55,arbi kofta with mint yogurt dip,Snack,"arbi/colocasia roots, water chestnut flour (kuttu ka aata), green chili, ginger, carom seeds, rock salt, oil, mint, curd, cucumber, pomegranate",1174,4
56,shrimp & cilantro ceviche,French,"prawns, gherkin, onion, cilantro, mix bell pepper, tiger milk, sweet corn, sea salt, black pepper, green lemon juice, cherry tomato, edible flower, coriander stems, celery stalks, garlic, ginger, red onion, lemon juice, sea salt, black pepper",732,5
56,corn pulao,Indian,"basmati rice, american corn kernels, olive oil, onion, ginger garlic paste, salt, green chillies, cumin seed, bay leaf, pepper corn, cloves, hot water, coriander leaves, lime juice, bell pepper (saut?ed and diced), coconut",677,4
58,bread with tomatoes and olives,Italian,"French Bread Loaf, Tomato, Extra Virgin Olive Oil, Salt, Black Pepper, Passerley, Stuffed Green Olive",562,5
59,chocolate chip cheesecake,Dessert,"butter biscuits (broken into pieces), butter (softened), cream cheese (softened), sugar, egg, rose essence or vanilla essence, chocolate chips",1273,5
62,assorted rice kheer sushi,Japanese,"basmati rice, milk, sugar, pistachio, almonds, green cardamoms(powdered), saffron, rose water, rose petals (dried), dark chocolate",2371,1
63,flattened rice / poha,Indian,"dehusked rice which is flattened into flat light dry flakes, these flakes of rice swell when added to liquid, whether hot or cold, as they absorb water, milk, or any other liquids. the thicknesses of these flakes vary between almost translucently thin (the more expensive varieties) to nearly four times thicker than a normal rice grain.",1728,1
64,almond and amaranth ladoo,Dessert,"popped amaranth seeds, jaggery, almonds (slivered, unpeeled)",2914,4
68,chocolate nero cookies,Dessert,"almonds, eggs, granulated sugar, bittersweet chocolate, unsalted butter, flour, baking powder, castor sugar, icing sugar",536,5
68,baked almond kofta,Snack,"potato (boiled), nutmeg, milk, almonds (crushed), green onions, refined flour, egg, salt, pepper, eggs, refined flour (for rolling), dried breadcrumbs (for rolling)",1382,4
71,Alo Achar,Nepalese,"boiled potatoes, peas, cucumber, mustard oil, turmeric powder, cumin powder, carrot, salt",238,5
71,Spicy Kimchi Tofu Stew,Korean,"tofu, kimchi, gochujang,black pepper,  sesame seeds, soy sauce, scallions",1461,3
72,hot chocolate,Beverage,"milk, chocolate, cocoa powder, powdered sugar, cinnamon, vanilla",1240,5
75,chicken shami kebab,Indian,"oil, cumin seeds, cloves, black peppercorns, cinnamon, coriander seeds, ajwain, red chilli whole, chilli flakes, boneless chicken, salt, water, ginger, green chilli, garlic, coriander leaves , mint leaves , egg",473,1
75,baked wild berry cheesecake,Dessert,"butter, digestive biscuits, berries, cream cheese, castor sugar, vanilla extract, egg (lightly beaten), icing sugar",2021,4
76,thai prawn curry & baked rice ,Thai,"jeera whole, coriander seeds, kashmiri chilly, garlic, ginger, green chillies, kokum, coconut, onion, tomatoes, coriander, prawns, salt, turmeric powder, garlic paste, asafoetida, refined oil, ginger paste, goan rice, coconut milk, green chillies, fresh coconut, hing, refined oil, coriander leaves, basmati rice, coconut milk, green chillies, coconut milk, coconut, salt, green chillies, curry leaf, lecite",1304,3
76,lemon poppy seed cake ,Dessert,"Flour, Baking Powder, Salt, Castor Sugar, Baking Soda, Eggs, Butter, Vanilla Essence, Lemon Juice, Poppy, Lemon Peel, Lemon Syrup, Wiped Cream, Fresh Berry",503,3
78,Lemon-Ginger Cake with Pistachios,Desserts,"egg yolks,lemon juice, unsalted butter, all purpose flour, sugar, ginger, milk",1097,5
80,baked shankarpali ,Snack,"whole wheat flour (atta), refined flour (maida), garlic cloves (crushed), salt, red chilli powder, chaat masala, cumin powder, tomato puree, ghee",1648,3
82,egg paratha,Indian,"whole wheat flour, salt, oil, eggs, onions, green chilli, coriander leaves, garam masala",2442,4
83,spiced almond banana jaggery cake,Dessert,"Butter, cinnamon molasses powder, nutmeg (powdered), almonds, sugar, eggs, orange peel, banana, flour, baking soda, baking powder, salt, buttermilk, powdered cinnamon",2784,3
83,Honeydew Salad with Ginger Dressing and Peanuts,Healthy Food,"peeled ginger, lightbrown sugar,chilli, honeydew melon,cucumber, avacado",2622,4
84,Pineapple-Coconut Rice,Thai,"brown rice, coconut milk, onion, carrot, cashew, pineapple, vegetable oil, ginger, curry powder",288,4
86,veg fried rice,Chinese,"oil, ginger-garlic paste, spring onion, carrot, cabbage, capsicum, salt, soy sauce, vinegar, rice",2665,4
88,meat lovers pizza,Italian,"millet flour, tapioca flour, soy milk, garlic powder, baking powder, salt, tomato sauce, mozzarella cheese, prosciutto, pepperoni, chicken salami, salami milano, rosemary, olive oil",1835,5
88,curry fish fingers,Thai,"river sole fish (cut in thin strips), garlic paste, salt , lime juice, beer, flour, cornflour, white pepper, eggs, mustard",506,2
89,sous-vide salmon tikka,French,"norwegian salmon, black garlic pickle, butter, butchery bag, smoked yogurt, home made prawn crisp, edible flower, salt",450,4
91,double chocolate easter cookies,Dessert,"Butter, Brown Sugar, Castor Sugar, Vanilla Essence, Dark Chocolate, Refined Flour, Cocoa Powder, Baking Soda, Salt, Milk, Cadbury Gems",2104,3
92,kasha bread,French,"kasha, boiling water, buckwheat flour, all-purpose gluten free flour, brown sugar, baking powder, baking soda, xanthum gum, salt, buttermilk, cream, egg, oil, walnuts",1913,5
95,mixed salad with lotus root,Healthy Food,"Iceberg Lattoos, Lolo Rosso, Endive Lettuce, Red Cabbage, Lotus Root, Kaddu, Yam Beans, Small Onions, Pomegranate, Chalet Oil, Pomelo, Lemongrass Sauce",2623,2
96,garlic and pinenut soup with burnt butter essence,French,"garlic cloves, almonds (whole), parsley, bayleaf, chicken broth, nutmeg, egg yolk, heavy cream, white bread slices, butter, salt, pepper, white wine",268,2
